ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,pnl,R_multiple,bars_held
NVDA,short,2018-10-12,2019-01-15,6.070157418570512,3.757850825452581,2876.167046577319,6642.349222009706,3.677114813038388,95
JPM,short,2018-12-11,2019-01-15,83.52766392975356,83.17797743693812,294.6255116929284,85.86181130690724,0.045008945393212416,35
AMZN,short,2018-10-25,2019-01-16,85.12441631698609,84.21099853515625,215.05435058410228,183.73786531518635,0.10079334167621304,83
XOM,short,2018-12-18,2019-01-18,52.4463515096265,52.21603100368336,477.1385696890673,92.44380965253862,0.04846359099706017,31
CSCO,short,2018-12-21,2019-01-18,34.294569802491125,35.9189638067189,620.6530625178685,-1023.6895453706617,-0.5091823441997977,28
AAPL,short,2018-11-15,2019-01-30,44.67637888374278,38.73383622739391,394.50702000323724,2333.4438179065005,1.2535664975779044,76
JNJ,short,2018-12-18,2019-01-30,107.23090486400994,106.57771337479515,228.53552108388826,132.21277432610103,0.06931243794051947,43
DIS,short,2018-12-21,2019-02-06,101.93204470873283,109.05201747912855,301.10815567101497,-2166.652997433511,-1.077691432221528,47
HD,long,2019-02-14,2019-03-04,155.73533491703589,151.4651536413346,205.57136183602822,-899.7105913639596,-0.48981085336990804,18
CRM,long,2019-01-14,2019-03-08,143.3429577157076,149.43470983486745,114.4701781678221,685.4196103280015,0.36669066145089985,53
ADBE,long,2019-02-13,2019-03-08,263.2615698852539,250.27999877929688,91.50405688045912,-1204.0163521903426,-0.6548055462596016,23
CRM,long,2019-03-22,2019-03-27,163.2192062263698,151.9337701594102,164.97913967124268,-1879.5938511766603,-1.009523972496993,5
TSLA,short,2019-01-24,2019-04-03,18.859233268737793,19.69266700744629,544.0355312241782,-460.87168241138374,-0.2502783850864391,69
NFLX,long,2019-01-16,2019-04-15,35.41770152664184,34.91999816894531,393.8136637851538,-205.64836370371881,-0.11067952804693959,89
GOOGL,long,2019-02-05,2019-04-30,56.01306217856898,58.79663418796879,436.39043112988304,1196.8848597023937,0.6532985984000592,84
CSCO,long,2019-03-13,2019-05-03,42.253728724981585,44.3083430730603,872.2448765360455,1765.2526433896487,0.9562140386410309,51
V,long,2019-03-04,2019-05-09,142.65377524995887,149.5847217858991,257.4015554208731,1757.2624844933923,1.0038534208393048,66
ADBE,long,2019-04-30,2019-05-10,286.2430561065674,270.53568192447864,121.63711626780497,-1933.8257857563995,-1.0121564376420773,10
AMZN,long,2019-04-08,2019-05-13,91.70732977294921,90.94499969482422,373.45194082270575,-308.49662723893135,-0.1644281397938482,35
PG,long,2019-02-01,2019-05-29,80.20247133172235,86.9536407360017,393.37021601411794,2632.0310570982892,1.4413184575391669,117
AAPL,short,2019-06-03,2019-06-07,41.98290682970412,45.245140384261425,585.2907631199836,-1927.701325025882,-1.0096085624739344,4
TSLA,short,2019-05-14,2019-06-17,15.27902353668213,14.892000198364258,901.2202554889975,339.36371195539544,0.18431275597826605,34
XOM,short,2019-05-24,2019-06-20,54.00795734840177,55.56551922467466,692.3208389269405,-1105.1531284269086,-0.6374439848719363,27
NVDA,short,2019-05-29,2019-06-20,3.5034219319320705,3.890343687227134,4308.153055076318,-1678.4835875647016,-0.9026287325792777,22
GOOGL,short,2019-05-30,2019-07-03,55.487478871066735,55.83340744385582,532.0040136692863,-204.80950342763884,-0.10953644627953042,34
PEP,long,2019-05-16,2019-07-09,103.51534515050575,105.34094051876293,357.6158197744554,626.5569596145602,0.448299896922563,54
ADBE,long,2019-06-21,2019-07-31,301.61072145080567,298.92999267578125,88.21061493157995,-254.95053951585248,-0.13977098465515808,40
MSFT,long,2019-06-20,2019-08-05,129.1217669490262,125.16064003322053,275.71849582572474,-1116.421542980815,-0.6100204310488833,46
HD,long,2019-07-09,2019-08-05,178.5812639424725,175.88113555798037,203.36459297824075,-574.2030178339369,-0.34923695591987847,27
XOM,short,2019-08-06,2019-09-09,51.20340586050042,52.65751940735412,705.8559317861049,-1052.310068768742,-0.6028515249531705,34
KO,long,2019-05-17,2019-10-02,39.56551995359071,43.5592265987859,941.3242187996292,3731.0463767173073,2.7126408516360816,138
HD,long,2019-08-23,2019-10-03,185.29713843983012,189.76735163444334,176.67174420170596,766.370767777946,0.4144213573571907,41
PG,long,2019-07-05,2019-10-15,94.70094656873053,100.72271000263056,386.1272231305898,2298.1750635368007,1.524992277617179,102
META,short,2019-10-03,2019-10-15,173.95461459837287,186.5450397319036,147.4239888921778,-1875.195931669658,-1.0102714947213787,12
NFLX,short,2019-08-08,2019-10-17,31.087449140548706,30.448999404907227,578.4584644410885,356.95028502894786,0.19632625228556339,70
JNJ,long,2019-10-17,2019-10-18,112.84996716660257,107.21545989685433,324.1636942901611,-1851.0140940311937,-1.0134198553724023,1
ADBE,short,2019-10-03,2019-11-01,266.7865534210205,281.510009765625,85.05926808146181,-1269.00270843117,-0.6836817643427379,29
CSCO,short,2019-08-16,2019-11-05,37.861252382372626,39.375747535437476,532.6832181412939,-821.3478373185035,-0.4438350985156643,81
NVDA,long,2019-10-16,2019-12-03,4.846254981243242,4.983931972589848,4184.788915221067,561.6070698918118,0.3061837255226417,48
JPM,long,2019-10-16,2020-01-23,100.29242814259494,114.03903852764923,318.5961898484086,4354.62297155984,2.3741059473049706,99
AAPL,long,2019-09-12,2020-02-24,54.003944204958835,71.75960997813098,540.9915639371793,9579.45102137307,5.131727293554104,165
GOOGL,long,2019-11-08,2020-02-24,64.5362716594072,70.35118456784836,597.1132194243556,3443.1032479529495,1.9488086475315936,108
MSFT,long,2019-10-29,2020-02-27,135.80073147355236,154.7181513655058,259.68519992195223,4884.940614197876,2.598235004101484,121
KO,long,2020-01-23,2020-02-27,47.1267681065494,46.51217064899308,968.3449578978493,-626.7297415466032,-0.46059865625143753,35
TSLA,long,2019-10-15,2020-02-28,17.18859030532837,41.20000076293945,1041.5076393748714,24980.5311496342,13.639375905918273,136
PG,short,2020-02-28,2020-03-02,93.40148753329488,98.5913580738021,449.34624349811185,-2362.8267862095586,-1.0131978173757912,3
V,short,2020-02-28,2020-03-02,166.04610761205623,179.41548797779186,174.43208045716446,-2353.722698519212,-1.0092939164081478,3
JNJ,short,2020-03-02,2020-03-04,113.25060320308566,119.4402644277609,359.3244415874491,-2253.916617938591,-1.013407715861108,2
