,equity
2016-03-23,148368.8021518331
2016-03-24,148575.82640124543
2016-03-28,148613.1719387193
2016-03-29,149616.51071493878
2016-03-30,149876.0761873672
2016-03-31,149188.519195338
2016-04-01,150218.57195589956
2016-04-04,149792.52568431405
2016-04-05,148970.30773615025
2016-04-06,150574.8367330132
2016-04-07,149173.82399091538
2016-04-08,149383.90155538134
2016-04-11,148857.60347751115
2016-04-12,148959.33562824546
2016-04-13,149151.57185247858
2016-04-14,149206.01670860776
2016-04-15,149757.31358180023
2016-04-18,149956.01299654084
2016-04-19,148688.62009115977
2016-04-20,147887.36298774314
2016-04-21,147462.81705956731
2016-04-22,147677.60589889353
2016-04-25,147541.17974807566
2016-04-26,147786.07080497683
2016-04-27,147937.15704168833
2016-04-28,146624.36425515538
2016-04-29,145779.57972274008
2016-05-02,147075.61535769294
2016-05-03,144883.23847766835
2016-05-04,144057.84317472935
2016-05-05,143756.19611057892
2016-05-06,144261.91384212507
2016-05-09,144569.05621046823
2016-05-10,146143.1525591705
2016-05-11,145605.36925012016
2016-05-12,145862.92830767768
2016-05-13,144766.63782984304
2016-05-16,146580.86844230155
2016-05-17,145221.19896537103
2016-05-18,146567.40803405136
2016-05-19,146021.35239673284
2016-05-20,146602.6651232655
2016-05-23,146500.62574560085
2016-05-24,148104.13759650907
2016-05-25,149092.8711906556
2016-05-26,149006.35681444433
2016-05-27,149425.37795373728
2016-05-31,149680.9812231971
2016-06-01,149781.47688234373
2016-06-02,150479.1625001915
2016-06-03,149477.24056261615
2016-06-06,150248.3104316364
2016-06-07,150532.04497756524
2016-06-08,150722.71194429646
2016-06-09,151228.0288038327
2016-06-10,149621.4794274561
2016-06-13,149573.8997627087
2016-06-14,149208.41393279424
2016-06-15,149264.46877553733
2016-06-16,149436.9090460909
2016-06-17,147932.0852973398
2016-06-20,149157.08802388672
2016-06-21,149199.91015112566
2016-06-22,148707.90002729587
2016-06-23,150497.28581627583
2016-06-24,146460.941217616
2016-06-27,145839.70741739633
2016-06-28,146424.1458027879
2016-06-29,146296.02744255128
2016-06-30,146971.88581700396
2016-07-01,145935.39628846495
2016-07-05,146521.65103117094
2016-07-06,146463.35370398068
2016-07-07,145790.48427116184
2016-07-08,146627.01705437558
2016-07-11,147125.7671731969
2016-07-12,147486.0155637256
2016-07-13,147315.05636906487
2016-07-14,147548.87871920245
2016-07-15,147098.8827269003
2016-07-18,147178.80390961614
2016-07-19,148166.9434874955
2016-07-20,148466.76320889304
2016-07-21,147954.3907363181
2016-07-22,148754.79028721174
2016-07-25,148539.72851923783
2016-07-26,148511.87449899816
2016-07-27,147768.13249782522
2016-07-28,148379.86508093541
2016-07-29,149335.0979742983
2016-08-01,149952.24616806672
2016-08-02,149074.31525117415
2016-08-03,148222.59497847414
2016-08-04,149335.99084002973
2016-08-05,150140.26090449933
2016-08-08,150241.83037515776
2016-08-09,150348.85121215277
2016-08-10,150251.5211024938
2016-08-11,151132.83669439857
2016-08-12,152552.01959077155
2016-08-15,151897.54666582975
2016-08-16,151183.017168117
2016-08-17,150922.41400868644
2016-08-18,151348.84966462798
2016-08-19,151089.1958775489
2016-08-22,151017.65589996523
2016-08-23,151688.53463179985
2016-08-24,150614.50242966335
2016-08-25,150693.31585296444
2016-08-26,151240.3131117302
2016-08-29,151891.67405460862
2016-08-30,150938.28517637905
2016-08-31,150884.92286179532
2016-09-01,152254.46287782062
2016-09-02,152374.93688421661
2016-09-06,154140.0596377666
2016-09-07,153804.09033158605
2016-09-08,152899.76211377466
2016-09-09,148770.95818689378
2016-09-12,149145.09312106372
2016-09-13,148311.17770934667
2016-09-14,148152.98390665342
2016-09-15,148673.2810799365
2016-09-16,149429.19439857255
2016-09-19,149442.47806952044
2016-09-20,149557.05600788217
2016-09-21,150229.38261921762
2016-09-22,150421.5599723274
2016-09-23,151208.34267344803
2016-09-26,151032.57300244298
2016-09-27,152261.82479016192
2016-09-28,152466.29255493835
2016-09-29,152114.7340849972
2016-09-30,152374.89984342997
2016-10-03,152929.10368886017
2016-10-04,151870.20544835195
2016-10-05,154092.41979654244
2016-10-06,152928.10949243943
2016-10-07,152953.8819478943
2016-10-10,151879.69231492755
2016-10-11,150962.7449021814
2016-10-12,151345.6987455918
2016-10-13,150321.7842492739
2016-10-14,150015.7935268387
2016-10-17,149777.01835460274
2016-10-18,149929.70901224483
2016-10-19,150279.72342274265
2016-10-20,149894.4554854769
2016-10-21,150307.13923991163
2016-10-24,151284.44940926263
2016-10-25,151621.5502309195
2016-10-26,150824.5856355897
2016-10-27,150214.40379256842
2016-10-28,148918.35957708745
2016-10-31,148629.53094176904
2016-11-01,148409.39261679834
2016-11-02,147618.795937136
2016-11-03,147665.80398000294
2016-11-04,147218.4032995406
2016-11-07,146688.87099558947
2016-11-08,146514.64549757077
2016-11-09,147541.99411802302
2016-11-10,147871.54444929367
2016-11-11,147385.66007198184
2016-11-14,148617.71374042242
2016-11-15,148493.73473222466
2016-11-16,148964.40352606133
2016-11-17,149066.6720844194
2016-11-18,149663.83004621728
2016-11-21,149579.5247827141
2016-11-22,149169.8273142085
2016-11-23,149743.31135942135
2016-11-25,148955.11990399196
2016-11-28,148371.63908851956
2016-11-29,149354.36540982494
2016-11-30,150713.1669249933
2016-12-01,151719.71881731309
2016-12-02,151729.39946192573
2016-12-05,152106.87869841888
2016-12-06,153182.94294418246
2016-12-07,152253.31137168047
2016-12-08,152608.4103419822
2016-12-09,151725.47578758048
2016-12-12,150924.62492270835
2016-12-13,151140.05872850597
2016-12-14,151894.8674234285
2016-12-15,153096.71344658855
2016-12-16,152519.42941074932
2016-12-19,153585.92084669223
2016-12-20,155018.37427476756
2016-12-21,155383.73551486086
2016-12-22,155168.12268269685
2016-12-23,155518.8562888052
2016-12-27,157261.41504604375
2016-12-28,154827.30321978967
2016-12-29,154490.65007429649
2016-12-30,153237.50453813493
2017-01-03,154254.49647887045
2017-01-04,156547.395960957
2017-01-05,155706.74943361612
2017-01-06,156417.8568122282
2017-01-09,157322.35136587344
2017-01-10,157427.24830997968
2017-01-11,157776.45878100887
2017-01-12,156232.05966909853
